date,open,high,low,close,volume
2022-09-07 16:00:00+00:00,18877.0,18984.0,18858.0,18916.0,54.0558
2022-09-07 17:00:00+00:00,18917.0,19031.0,18910.0,19008.0,159.1957
2022-09-07 18:00:00+00:00,19008.0,19185.0,18970.0,19080.0,255.6904
2022-09-07 19:00:00+00:00,19081.0,19198.0,18995.0,18995.0,229.2237
2022-09-07 20:00:00+00:00,18997.0,19444.0,18997.0,19377.0,382.4484
2022-09-07 21:00:00+00:00,19383.0,19459.0,19281.0,19364.0,127.362
2022-09-07 22:00:00+00:00,19366.0,19422.0,19323.0,19342.0,65.2708
2022-09-07 23:00:00+00:00,19341.0,19351.0,19253.0,19292.0,15.342
2022-09-08 00:00:00+00:00,19293.0,19381.0,19247.0,19307.0,157.8203
2022-09-08 01:00:00+00:00,19307.0,19329.0,19160.0,19182.0,78.3113
2022-09-08 02:00:00+00:00,19183.0,19255.0,19183.0,19239.0,35.9476
2022-09-08 03:00:00+00:00,19240.0,19258.0,19194.0,19215.0,170.3424
2022-09-08 04:00:00+00:00,19216.0,19379.0,19198.0,19351.0,59.7717
2022-09-08 05:00:00+00:00,19352.0,19363.0,19289.0,19299.0,9.6377
2022-09-08 06:00:00+00:00,19300.0,19350.0,19231.0,19233.0,60.153
2022-09-08 07:00:00+00:00,19234.0,19267.0,19061.0,19173.0,42.6322
2022-09-08 08:00:00+00:00,19172.0,19230.0,19147.0,19225.0,40.5366
2022-09-08 09:00:00+00:00,19226.0,19239.0,19148.0,19187.0,27.012
2022-09-08 10:00:00+00:00,19187.0,19350.0,19176.0,19310.0,21.152
2022-09-08 11:00:00+00:00,19311.0,19390.0,19282.0,19313.0,8.4454
2022-09-08 12:00:00+00:00,19314.0,19383.0,19107.0,19145.0,82.6601
2022-09-08 13:00:00+00:00,19146.0,19359.0,19021.0,19219.0,360.6744
2022-09-08 14:00:00+00:00,19226.0,19323.0,19098.0,19314.0,179.4249
2022-09-08 15:00:00+00:00,19316.0,19346.0,19230.0,19253.0,53.7432
2022-09-08 16:00:00+00:00,19251.0,19262.0,19095.0,19192.0,112.2868
2022-09-08 17:00:00+00:00,19193.0,19246.0,19122.0,19201.0,46.9817
2022-09-08 18:00:00+00:00,19201.0,19240.0,19171.0,19204.0,10.4586
2022-09-08 19:00:00+00:00,19205.0,19348.0,19185.0,19348.0,115.7173
2022-09-08 20:00:00+00:00,19348.0,19454.0,19333.0,19380.0,202.8919
2022-09-08 21:00:00+00:00,19381.0,19381.0,19290.0,19333.0,25.5885
2022-09-08 22:00:00+00:00,19334.0,19334.0,19255.0,19304.0,392.099
2022-09-08 23:00:00+00:00,19305.0,19333.0,19284.0,19316.0,21.3455
